"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id","gene_length","gene_biotype","entrezgene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POR","ENSG00000127948","POR","ENSG00000127948.12",6112,"protein_coding","5447",0.0401273626317096,7.21331266207391,0.327931064292682,0.743703477632687,0.813594830605446,-7.28403585453745
"STX1A","ENSG00000106089","STX1A","ENSG00000106089.10",3693,"protein_coding","6804",0.0675149221039728,3.41993500025359,0.327646757540317,0.743917759852293,0.813655978018329,-6.96891139058744
"SLITRK6","ENSG00000184564","SLITRK6","ENSG00000184564.8",4318,"protein_coding","84189",-0.194307668640277,0.448577377598985,-0.327625666224646,0.743933657196466,0.813655978018329,-6.51975207928438
"ZNF641","ENSG00000167528","ZNF641","ENSG00000167528.11",8474,"protein_coding","121274",-0.0320710475383001,3.67360872705085,-0.327620127940868,0.743937831634539,0.813655978018329,-7.00939816490949
"ATXN3","ENSG00000066427","ATXN3","ENSG00000066427.20",28202,"protein_coding","4287",0.0299664736496412,4.24698359329584,0.327138383372309,0.744300972084894,0.813988062379242,-7.10287329712186
"ITPR1","ENSG00000150995","ITPR1","ENSG00000150995.16",12895,"protein_coding","3708",-0.0600690809046527,3.45564318818281,-0.326812352945306,0.74454676755624,0.814191772196534,-6.9716433190619
"DGUOK","ENSG00000114956","DGUOK","ENSG00000114956.18",1455,"protein_coding","1716",0.0350266825746406,5.49543137638064,0.326435817261352,0.744830672019701,0.814437119824564,-7.23511347049457
"OSBPL10","ENSG00000144645","OSBPL10","ENSG00000144645.12",11976,"protein_coding","114884",0.043088378584514,4.84933456259484,0.326308506628154,0.74492667104558,0.814476978941762,-7.17848616053457
"HEPACAM2","ENSG00000188175","HEPACAM2","ENSG00000188175.8",2483,"protein_coding","253012",-0.201353264103361,1.95002502313738,-0.32612952203699,0.745061641808616,0.814559438626668,-6.72050407697639
"UCKL1","ENSG00000198276","UCKL1","ENSG00000198276.12",3108,"protein_coding","54963",0.0501343166507535,5.99501091555226,0.32596242934684,0.745187652169413,0.814632089703743,-7.26291007527177
"CFAP410","ENSG00000160226","CFAP410","ENSG00000160226.14",6063,"protein_coding","755",-0.0443884107408854,4.09318632771383,-0.325406518450973,0.745606933609918,0.815025304716411,-7.081875267462
"FUS","ENSG00000089280","FUS","ENSG00000089280.17",10283,"protein_coding","2521",0.0368512661926683,8.30385648102187,0.324884326186345,0.74600085340322,0.815390736203391,-7.28094051627726
"MBOAT2","ENSG00000143797","MBOAT2","ENSG00000143797.10",8798,"protein_coding","129642",-0.0785777725606396,5.19477826789507,-0.324108652095786,0.746586113716148,0.815882189222679,-7.20968898800574
"SMCR8","ENSG00000176994","SMCR8","ENSG00000176994.10",8279,"protein_coding","140775",0.0342926095622218,5.199756400776,0.324059413314687,0.74662327029695,0.815882189222679,-7.21350418301204
"FBXO32","ENSG00000156804","FBXO32","ENSG00000156804.6",7395,"protein_coding","114907",0.06589069415742,4.94756116778461,0.324003325353905,0.746665596136659,0.815882189222679,-7.18993955837719
"PPTC7","ENSG00000196850","PPTC7","ENSG00000196850.5",5687,"protein_coding","160760",0.035317992923023,5.48672828587351,0.323941732053224,0.746712077383546,0.815882189222679,-7.23438961661266
"CCDC86","ENSG00000110104","CCDC86","ENSG00000110104.10",2044,"protein_coding","79080",-0.0338844944557373,5.39129693749949,-0.323893163956948,0.746748729849299,0.815882189222679,-7.22816724726474
"KANSL3","ENSG00000114982","KANSL3","ENSG00000114982.16",9015,"protein_coding","55683",-0.0235224621855128,5.83789162594119,-0.323792474758054,0.746824717951779,0.815900039308661,-7.25435255139219
"METTL2A","ENSG00000087995","METTL2A","ENSG00000087995.14",3843,"protein_coding","339175",-0.0300881936262316,4.37703907491748,-0.323427311195371,0.747100320489048,0.816135946302148,-7.12238689221476
"SLC4A8","ENSG00000050438","SLC4A8","ENSG00000050438.15",17980,"protein_coding","9498",0.070738201591364,1.2574631362483,0.32288428182977,0.747510225737724,0.816518516821641,-6.62455849285102
"KDELR1","ENSG00000105438","KDELR1","ENSG00000105438.7",2251,"protein_coding","10945",-0.0344433718828245,8.19923655934618,-0.322437790564208,0.747847313655445,0.81677516238874,-7.28234101533278
"ZNF266","ENSG00000174652","ZNF266","ENSG00000174652.16",5267,"protein_coding","10781",-0.0426191452413072,4.56253025237328,-0.322414882543619,0.74786460986669,0.81677516238874,-7.14573538113506
"VWA5A","ENSG00000110002","VWA5A","ENSG00000110002.14",6403,"protein_coding","4013",0.0732437605365819,4.65407265231491,0.322152283968189,0.748062888519178,0.816881700922657,-7.15899256274318
"TMEM82","ENSG00000162460","TMEM82","ENSG00000162460.6",1520,"protein_coding","388595",0.145877909429251,-0.203747199768888,0.322127497897255,0.748081604456588,0.816881700922657,-6.44834534844511
"RAD51B","ENSG00000182185","RAD51B","ENSG00000182185.17",7477,"protein_coding","5890",-0.0414555209346088,2.31931802093347,-0.321841759544541,0.748297376094127,0.817052088306495,-6.77979351018615
"NTRK2","ENSG00000148053","NTRK2","ENSG00000148053.14",20363,"protein_coding","4915",0.156931880730328,1.24854641780125,0.321533916280007,0.748529862391169,0.817240697460601,-6.6241122056319
"FYCO1","ENSG00000163820","FYCO1","ENSG00000163820.13",8895,"protein_coding","79443",-0.0368168255782493,5.35952267471732,-0.320998723107768,0.748934100901524,0.817616779641715,-7.22533016403336
"ECM2","ENSG00000106823","ECM2","ENSG00000106823.11",4916,"protein_coding","1842",-0.0747108984578095,1.52056803591856,-0.319990288731114,0.749695975243491,0.818349621643506,-6.65953345259985
"EXO1","ENSG00000174371","EXO1","ENSG00000174371.15",4140,"protein_coding","9156",0.0439753355848298,4.02571885433481,0.319951823332359,0.749725040855006,0.818349621643506,-7.0716528407834
"PHGDH","ENSG00000092621","PHGDH","ENSG00000092621.10",5622,"protein_coding","26227",-0.115687159012257,5.26920170411023,-0.319084156798976,0.750380771654761,0.81894094185943,-7.22024857418003
"CCL20","ENSG00000115009","CCL20","ENSG00000115009.10",1343,"protein_coding","6364",0.114954442448163,4.82609151867587,0.319042090064367,0.750412567855882,0.81894094185943,-7.18237648627891
"BLNK","ENSG00000095585","BLNK","ENSG00000095585.15",3655,"protein_coding","29760",0.0700212451630895,3.39801583730655,0.318997339465652,0.750446393132482,0.81894094185943,-6.96628592182894
"LRRN3","ENSG00000173114","LRRN3","ENSG00000173114.11",3875,"protein_coding","54674",-0.0882464133361911,-1.79219540101762,-0.31831022575592,0.750965817445098,0.819378952641411,-6.29275647716441
"NDUFB2","ENSG00000090266","NDUFB2","ENSG00000090266.11",4447,"protein_coding","4708",0.027499995049526,6.4441300746485,0.318307895304817,0.750967579347326,0.819378952641411,-7.27824841313191
"THEM6","ENSG00000130193","THEM6","ENSG00000130193.7",3055,"protein_coding","51337",0.053237171165442,6.28234055488979,0.318223050992136,0.751031725502215,0.819383579916989,-7.2748096772109
"LIMS2","ENSG00000072163","LIMS2","ENSG00000072163.17",8489,"protein_coding","55679",0.0806871472064423,3.80924447853996,0.318140805624286,0.751093908405926,0.81938606469742,-7.04027283913424
"TSHZ2","ENSG00000182463","TSHZ2","ENSG00000182463.14",12581,"protein_coding","128553",-0.0809781056384944,2.03455622746792,-0.317361244456758,0.751683389415574,0.81991291264705,-6.73574199924818
"CKB","ENSG00000166165","CKB","ENSG00000166165.11",2669,"protein_coding","1152",-0.128027896230789,7.60584183758823,-0.317268539167433,0.751753500207341,0.81991291264705,-7.28667584305375
"ZNF561","ENSG00000171469","ZNF561","ENSG00000171469.9",6467,"protein_coding","93134",-0.028267008248136,4.69851452464656,-0.317264337741446,0.751756677694594,0.81991291264705,-7.16383415010745
"THBS2","ENSG00000186340","THBS2","ENSG00000186340.13",6397,"protein_coding","7058",0.109718745351262,6.7569991253329,0.316807129864686,0.752102483981468,0.820224667190122,-7.28459310233103
"IGSF22","ENSG00000179057","IGSF22","ENSG00000179057.12",4841,"protein_coding","283284",0.0847142263208411,-0.316616238784962,0.31669430882939,0.752187823240979,0.820252335668509,-6.43727697266541
"PEX7","ENSG00000112357","PEX7","ENSG00000112357.11",1835,"protein_coding","5191",-0.0431023088453837,3.69689484507424,-0.316241618828618,0.752530274639742,0.820560355271237,-7.01954170029473
"MNAT1","ENSG00000020426","MNAT1","ENSG00000020426.9",3865,"protein_coding","4331",0.0469688542481621,3.32282562664585,0.316132493953759,0.7526128329451,0.820584960464175,-6.95278516132512
"ZNF778","ENSG00000170100","ZNF778","ENSG00000170100.12",11273,"protein_coding","197320",0.0377061307316393,2.35168662694677,0.315283059864543,0.753255569628568,0.821220283865738,-6.7879284423734
"DELE1","ENSG00000081791","DELE1","ENSG00000081791.7",6047,"protein_coding","9812",-0.0271980102454883,5.93400501423867,-0.315002835583322,0.753467643566858,0.821240828805667,-7.26190543914373
"PTHLH","ENSG00000087494","PTHLH","ENSG00000087494.14",3377,"protein_coding","5744",0.0951532535011065,0.306986091556976,0.314867159223654,0.753570330326368,0.821240828805667,-6.50780261482792
"ARHGAP39","ENSG00000147799","ARHGAP39","ENSG00000147799.10",4888,"protein_coding","80728",-0.0472757111319897,4.61145982980754,-0.314846624867107,0.753585872156239,0.821240828805667,-7.15640729440334
"VASP","ENSG00000125753","VASP","ENSG00000125753.12",3601,"protein_coding","7408",-0.0300617373885643,7.69383808633013,-0.314823594252604,0.753603303448533,0.821240828805667,-7.28754929932062
"ETV1","ENSG00000006468","ETV1","ENSG00000006468.12",9616,"protein_coding","2115",-0.085797513173163,2.8010892735842,-0.314817445568954,0.753607957253971,0.821240828805667,-6.8611187623393
"JTB","ENSG00000143543","JTB","ENSG00000143543.13",1496,"protein_coding","10899",-0.0275332615961723,7.35999414238467,-0.314782165341357,0.753634660269683,0.821240828805667,-7.28808064566368
"LRRC27","ENSG00000148814","LRRC27","ENSG00000148814.16",9910,"protein_coding","80313",-0.0401230910776689,2.59461289559119,-0.314287215553554,0.754009311060407,0.821569794107929,-6.82769465325901
"DLL1","ENSG00000198719","DLL1","ENSG00000198719.8",3226,"protein_coding","28514",0.06451304663493,3.62790682891306,0.314224649287185,0.754056674603812,0.821569794107929,-7.00938826405596
"NHSL2","ENSG00000204131","NHSL2","ENSG00000204131.7",3978,"protein_coding",NA,-0.0771069981440391,-1.23903235345606,-0.313394733948367,0.754685021070797,0.822188906268926,-6.34348528172422
"GDAP1","ENSG00000104381","GDAP1","ENSG00000104381.11",4052,"protein_coding","54332",-0.059981792421949,2.75314672411578,-0.313154237401178,0.754867136955979,0.822321814215027,-6.85426803689506
"ZCCHC8","ENSG00000033030","ZCCHC8","ENSG00000033030.12",8690,"protein_coding","55596",-0.0234876656581342,4.55009982669344,-0.312442229101097,0.755406386030562,0.822778753897834,-7.14660502258122
"DHRS3","ENSG00000162496","DHRS3","ENSG00000162496.7",3036,"protein_coding","9249",0.0516127018037373,6.08516189470072,0.312441549268801,0.755406900968636,0.822778753897834,-7.27053633269827
"EPB41L4A","ENSG00000129595","EPB41L4A","ENSG00000129595.11",8582,"protein_coding","64097",0.0686189593210831,0.850239265174762,0.312072746967476,0.75568626605925,0.823017497185956,-6.57449081495378
"MKKS","ENSG00000125863","MKKS","ENSG00000125863.16",6953,"protein_coding","8195",0.0387243182317274,5.75014150139623,0.311874923383812,0.755836129381758,0.823090089380764,-7.25542123971311
"CNPY4","ENSG00000166997","CNPY4","ENSG00000166997.6",2475,"protein_coding","245812",-0.0351054222580824,2.90928103474941,-0.311825896207248,0.755873271875404,0.823090089380764,-6.88208618140885
"OTUD5","ENSG00000068308","OTUD5","ENSG00000068308.12",3592,"protein_coding","55593",-0.0286833455005713,6.29516099558083,-0.311053330874511,0.756458635217297,0.823588719122786,-7.27624029802031
"NR3C2","ENSG00000151623","NR3C2","ENSG00000151623.13",6607,"protein_coding","4306",0.0798919638829645,3.8635399641174,0.31102950080589,0.756476693230091,0.823588719122786,-7.05028082283258
"MYLIP","ENSG00000007944","MYLIP","ENSG00000007944.13",3033,"protein_coding","29116",-0.0334278177734637,4.8558834249737,-0.310983147306285,0.756511819495444,0.823588719122786,-7.18422825365078
"EZH1","ENSG00000108799","EZH1","ENSG00000108799.11",6988,"protein_coding","2145",-0.0352333033113554,4.71624575662798,-0.310773004383437,0.756671070325535,0.823696530036822,-7.16822814923346
"C19orf44","ENSG00000105072","C19orf44","ENSG00000105072.7",4421,"protein_coding","84167",0.0402247186702711,2.44220234262266,0.309741961384971,0.757452568947187,0.824454255369914,-6.8045269544951
"NAALADL1","ENSG00000168060","NAALADL1","ENSG00000168060.13",4044,"protein_coding","10004",0.073744883659671,1.83913503472651,0.309580800612909,0.757574746612117,0.824454255369914,-6.71058357513551
"HOXB5","ENSG00000120075","HOXB5","ENSG00000120075.5",2041,"protein_coding","3215",-0.103362656597284,3.87299070455443,-0.309446039628897,0.757676915047474,0.824454255369914,-7.05155513277042
"FAM149A","ENSG00000109794","FAM149A","ENSG00000109794.12",5218,"protein_coding","25854",0.106682408670192,2.15961730182011,0.309435873130798,0.757684622906934,0.824454255369914,-6.75940019134502
"PCSK7","ENSG00000160613","PCSK7","ENSG00000160613.11",22303,"protein_coding","9159",-0.0416159090422124,5.58262034119131,-0.309417506689257,0.757698547719573,0.824454255369914,-7.24612998237589
"ZC3H14","ENSG00000100722","ZC3H14","ENSG00000100722.17",20977,"protein_coding","79882",0.0245587501149886,5.4622999886468,0.309377613055006,0.757728793994384,0.824454255369914,-7.2375445131634
"FBXL18","ENSG00000155034","FBXL18","ENSG00000155034.17",5088,"protein_coding","80028",-0.0451027201051954,2.84265416490493,-0.309237545623725,0.757834992318326,0.824504217700451,-6.87219911539931
"SFXN3","ENSG00000107819","SFXN3","ENSG00000107819.12",4631,"protein_coding","81855",0.041917477668445,5.80552526509394,0.309124727745691,0.757920533564478,0.824531699522383,-7.25869265616336
"SCG5","ENSG00000166922","SCG5","ENSG00000166922.7",2196,"protein_coding","6447",-0.0814146903178852,1.79731936079889,-0.30861238333713,0.758309043386167,0.824888746257038,-6.70362221384043
"ANKRD40","ENSG00000154945","ANKRD40","ENSG00000154945.6",4849,"protein_coding","91369",-0.0211510247348485,5.30983759249292,-0.308419980290944,0.758454958288894,0.824981862383736,-7.22591570560408
"PLPP4","ENSG00000203805","PLPP4","ENSG00000203805.9",1785,"protein_coding","196051",0.110033218550791,0.981721587346323,0.307947709757621,0.75881315656496,0.82530584887846,-6.5930186659473
"SEC24C","ENSG00000176986","SEC24C","ENSG00000176986.13",5272,"protein_coding","9632",-0.0301069627322512,5.76070675755333,-0.307315092807295,0.759293053590836,0.82576213620223,-7.25564956265219
"SUPT3H","ENSG00000196284","SUPT3H","ENSG00000196284.12",5205,"protein_coding","8464",0.0376681921465734,2.78153633179488,0.307124901797896,0.75943734905768,0.825811083497779,-6.86243401175648
"FBH1","ENSG00000134452","FBH1","ENSG00000134452.18",6676,"protein_coding","84893",-0.022186918828826,5.90901701324658,-0.307096614253803,0.759458811179892,0.825811083497779,-7.26282780304292
"C4orf46","ENSG00000205208","C4orf46","ENSG00000205208.4",3730,"protein_coding","201725",-0.0423943696093767,3.67463653235207,-0.306707623304857,0.759753962685611,0.826066351479634,-7.01692067162014
"GYG1","ENSG00000163754","GYG1","ENSG00000163754.16",3511,"protein_coding","2992",-0.030353429077703,5.47865193221268,-0.306564337462585,0.759862691485206,0.826118901051955,-7.23951559478439
"TXNDC12","ENSG00000117862","TXNDC12","ENSG00000117862.10",3630,"protein_coding","51060",-0.0263638875023791,6.59047659225657,-0.305072604529879,0.760994940987721,0.827173301325415,-7.28455319182509
"ACER2","ENSG00000177076","ACER2","ENSG00000177076.5",2238,"protein_coding","340485",-0.0537094400367284,1.32776239483458,-0.304947530962764,0.761089897533487,0.827173301325415,-6.63876463966665
"ERMAP","ENSG00000164010","ERMAP","ENSG00000164010.12",4631,"protein_coding","114625",-0.0290101170466976,3.5733585040604,-0.304939596417712,0.761095921607471,0.827173301325415,-7.00060766392349
"ATP5PF","ENSG00000154723","ATP5PF","ENSG00000154723.11",2043,"protein_coding","522",-0.0443177560285068,6.12884205833861,-0.304917709448638,0.761112538732394,0.827173301325415,-7.27178501005867
"RUSC2","ENSG00000198853","RUSC2","ENSG00000198853.10",5682,"protein_coding","9853",-0.0508368185790395,4.11205691262239,-0.304792011021643,0.76120797423605,0.827173301325415,-7.08924166429577
"RASL10B","ENSG00000270885","RASL10B","ENSG00000270885.1",3502,"protein_coding","91608",-0.109142058377863,0.531907623107552,-0.30477294768137,0.76122244824386,0.827173301325415,-6.53789472138782
"PCDHGA1","ENSG00000204956","PCDHGA1","ENSG00000204956.5",6252,"protein_coding","56114",-0.0902927546318213,-0.10354966262229,-0.304728955446017,0.761255850057342,0.827173301325415,-6.46375686907235
"ANKMY1","ENSG00000144504","ANKMY1","ENSG00000144504.14",11477,"protein_coding","51281",-0.0441209165056833,3.8575026344828,-0.304575747895966,0.761372178887109,0.827233987037722,-7.05032530380997
"TMEM199","ENSG00000244045","TMEM199","ENSG00000244045.9",4620,"protein_coding","147007",0.0276850706925749,3.89739018273364,0.304416165025267,0.761493354257002,0.827299928477147,-7.0564217910219
"AC091982.3","ENSG00000275765","AC091982.3","ENSG00000275765.3",1175,"protein_coding",NA,0.0739514728171025,0.315537962429227,0.303779446917404,0.76197688980519,0.827757746418048,-6.51258324611004
"RPS19","ENSG00000105372","RPS19","ENSG00000105372.5",3805,"protein_coding","6223",-0.0282065037289438,10.3868681987038,-0.303701895124847,0.762035790531954,0.827757746418048,-7.2687446566547
"INHBB","ENSG00000163083","INHBB","ENSG00000163083.5",3204,"protein_coding","3625",-0.0925987147277412,2.29116574761535,-0.303501402842376,0.762188071274654,0.827857415937006,-6.78029276058726
"TNXB","ENSG00000168477","TNXB","ENSG00000168477.16",15623,"protein_coding","7148",-0.0918479279028919,2.50587646959029,-0.302921042280683,0.762628927687752,0.828270483794908,-6.81589707735001
"AATF","ENSG00000275700","AATF","ENSG00000275700.3",4714,"protein_coding","26574",-0.0254897661354354,6.28749732544837,-0.302590739396396,0.762879868986448,0.828477240809578,-7.27820877360867
"RIPK3","ENSG00000129465","RIPK3","ENSG00000129465.14",3256,"protein_coding","11035",0.0321140347532536,4.21849650749946,0.302250671109681,0.763138255824493,0.82869205010856,-7.10802445094983
"NTN4","ENSG00000074527","NTN4","ENSG00000074527.10",4166,"protein_coding","59277",-0.0529253841560093,3.82368631960285,-0.302138644843827,0.76322338022849,0.828692726124808,-7.04484330411635
"MAP1LC3B","ENSG00000140941","MAP1LC3B","ENSG00000140941.11",5313,"protein_coding","81631",-0.0326669066632688,6.17490446999318,-0.302090387523279,0.763260049986864,0.828692726124808,-7.27456360009189
"SPATC1L","ENSG00000160284","SPATC1L","ENSG00000160284.13",2333,"protein_coding","84221",0.116137920753931,2.10980849338866,0.301981584280517,0.763342729343073,0.828716711798916,-6.75469829948914
"SSTR1","ENSG00000139874","SSTR1","ENSG00000139874.5",4295,"protein_coding","6751",0.0960758387191984,2.34629594396424,0.301592690856908,0.763638271060073,0.828971767584101,-6.79167350031698
"TTLL5","ENSG00000119685","TTLL5","ENSG00000119685.18",12266,"protein_coding","23093",-0.025749602652553,4.71185023752659,-0.301230957696029,0.763913203608741,0.829204412265722,-7.17009006274015
"LAMA3","ENSG00000053747","LAMA3","ENSG00000053747.14",13522,"protein_coding","3909",0.0897864291476322,6.15580938346333,0.300842373053286,0.764208578127184,0.829459207397526,-7.27575555067095
"GORASP2","ENSG00000115806","GORASP2","ENSG00000115806.11",5340,"protein_coding","26003",-0.0196714934807751,7.17069459387204,-0.30047726976984,0.764486135554034,0.829694625256532,-7.29204617037539
"HIST1H1B","ENSG00000184357","HIST1H1B","ENSG00000184357.4",681,"protein_coding","3009",-0.162248941839042,-1.95514474039909,-0.299875982549196,0.764943310839386,0.83012492904325,-6.2852158715992
"SNTB2","ENSG00000168807","SNTB2","ENSG00000168807.15",9875,"protein_coding","6645",-0.0285773158378513,5.27318877483656,-0.299622626126104,0.7651359696652,0.830238924287786,-7.22558239116858
"LMNB1","ENSG00000113368","LMNB1","ENSG00000113368.10",3633,"protein_coding","4001",0.0372409302112384,6.79934938863295,0.299578201465958,0.765169752856546,0.830238924287786,-7.28986012655563
"RPF1","ENSG00000117133","RPF1","ENSG00000117133.9",1728,"protein_coding","80135",0.0346300862653806,5.03646297034711,0.299401324831305,0.765304265020941,0.830319008245929,-7.20524612890811
"GPAT3","ENSG00000138678","GPAT3","ENSG00000138678.9",3468,"protein_coding","84803",0.0752959454830893,2.76296283920882,0.299084685522766,0.76554508267328,0.830514406789747,-6.86156484637588
"C12orf73","ENSG00000204954","C12orf73","ENSG00000204954.8",3096,"protein_coding","728568",-0.0387000210616408,2.99717044980206,-0.298438544133109,0.76603657208991,0.830964307251364,-6.90229807627647
"PPP1R3E","ENSG00000235194","PPP1R3E","ENSG00000235194.7",5548,"protein_coding","90673",-0.0415236601874209,2.91331319863966,-0.298379758675824,0.766081292180121,0.830964307251364,-6.88701760769175
"PFDN1","ENSG00000113068","PFDN1","ENSG00000113068.8",2156,"protein_coding","5201",-0.0256093356280553,5.73620554715272,-0.298257777746026,0.766174089735608,0.830999064261648,-7.25717032585892
"MID1IP1","ENSG00000165175","MID1IP1","ENSG00000165175.14",3790,"protein_coding","58526",-0.0354489428161129,6.34885935900394,-0.29756900997189,0.766698136938867,0.831477332115035,-7.28184769425669
"RNF168","ENSG00000163961","RNF168","ENSG00000163961.4",5347,"protein_coding","165918",-0.032269526627756,4.59260472587774,-0.29744147833322,0.76679518096933,0.831477332115035,-7.15846341381619
"RBP1","ENSG00000114115","RBP1","ENSG00000114115.8",3905,"protein_coding","5947",0.10498406902091,3.05812585165013,0.297438540116023,0.766797416822566,0.831477332115035,-6.91493711194268
"LBHD1","ENSG00000162194","LBHD1","ENSG00000162194.11",3362,"protein_coding","79081",-0.0563253362607354,1.29406314170349,-0.297134883682048,0.767028496564655,0.831661971939068,-6.63628665549997
"ZC3H7B","ENSG00000100403","ZC3H7B","ENSG00000100403.11",10525,"protein_coding","23264",0.0309113949354538,6.99838882191512,0.297020762126732,0.767115347458994,0.83169021263032,-7.29257592365384
"PKD2","ENSG00000118762","PKD2","ENSG00000118762.6",5498,"protein_coding","5311",-0.0448398680848259,3.97165270778739,-0.296344660376395,0.767629947847589,0.832182169030619,-7.06789469667583
"SCAP","ENSG00000114650","SCAP","ENSG00000114650.17",6301,"protein_coding","22937",0.0390513398728567,6.94160945535534,0.296146582123396,0.767780730605777,0.832279666605311,-7.29263204695562
"AC005726.1","ENSG00000258472","AC005726.1","ENSG00000258472.7",3218,"protein_coding",NA,0.0700473292341639,0.174521656622453,0.295896684165359,0.76797097272872,0.832419919564421,-6.49836552543871
"ZNF487","ENSG00000243660","ZNF487","ENSG00000243660.8",4976,"protein_coding","642819",-0.0475748459576979,1.45291926922462,-0.295738855363924,0.768091131835914,0.832484191858291,-6.65870174208006
"PTCH2","ENSG00000117425","PTCH2","ENSG00000117425.12",5149,"protein_coding","8643",-0.0553631922525958,0.732099336595731,-0.295419480530209,0.768334297397099,0.832681762126418,-6.56507593712602
"NECTIN4","ENSG00000143217","NECTIN4","ENSG00000143217.8",3502,"protein_coding","81607",-0.0930497546127382,3.80729526744831,-0.295326058630317,0.768405431329657,0.832692876701557,-7.04426773921934
"EIF4ENIF1","ENSG00000184708","EIF4ENIF1","ENSG00000184708.16",6084,"protein_coding","56478",0.0225187407269756,4.83719140848076,0.294964727086974,0.768680577480092,0.832852518747987,-7.18820492443926
"LRRC14","ENSG00000160959","LRRC14","ENSG00000160959.6",6136,"protein_coding","9684",-0.037572169048536,5.14973109864299,-0.294915831348486,0.768717812802436,0.832852518747987,-7.21856412424832
"CDKN3","ENSG00000100526","CDKN3","ENSG00000100526.18",1836,"protein_coding","1033",0.0446905547651983,4.3633246232662,0.294892713076719,0.768735418130819,0.832852518747987,-7.13047746538183
"ADAMTS17","ENSG00000140470","ADAMTS17","ENSG00000140470.12",8242,"protein_coding","170691",0.0933638926160806,1.00640675574894,0.294477950161231,0.769051294390971,0.833128750568644,-6.60027743383313
"METTL14","ENSG00000145388","METTL14","ENSG00000145388.13",6862,"protein_coding","57721",0.0302521092293739,4.10040952525343,0.294206572924426,0.769257991688887,0.833286672235733,-7.09007913024657
"TMEM206","ENSG00000065600","TMEM206","ENSG00000065600.11",2914,"protein_coding","55248",-0.0311295934018143,3.54279485014731,-0.293016167751145,0.770164872891367,0.834202972078565,-6.99990459515215
"CYFIP1","ENSG00000273749","CYFIP1","ENSG00000273749.3",10414,"protein_coding","23191",-0.0275838005184985,7.43219340119446,-0.292899782918062,0.770253555007994,0.834232965824637,-7.29472467715005
"CASP3","ENSG00000164305","CASP3","ENSG00000164305.16",2899,"protein_coding","836",0.0376637578396721,5.74250572133734,0.2924979408763,0.770559771310798,0.834498539349888,-7.2602141401471
"CDC42BPB","ENSG00000198752","CDC42BPB","ENSG00000198752.8",7958,"protein_coding","9578",-0.0329586700134978,7.02859556646258,-0.292139455706644,0.770832978989481,0.834728326072212,-7.29371765580283
"HEBP2","ENSG00000051620","HEBP2","ENSG00000051620.9",10356,"protein_coding","23593",-0.0346923002167667,6.39153173462194,-0.291621572241134,0.771227717852266,0.835089671056308,-7.28437335044247
"PAFAH1B1","ENSG00000007168","PAFAH1B1","ENSG00000007168.11",8127,"protein_coding","5048",0.0253970700207793,6.7228834422602,0.291436656777699,0.771368677897577,0.835176187467985,-7.29105462413077
"NRBP1","ENSG00000115216","NRBP1","ENSG00000115216.12",5329,"protein_coding","29959",0.0224076517172778,6.82651624177479,0.291333109790058,0.771447614550315,0.835195541540226,-7.29253001099522
"SSBP2","ENSG00000145687","SSBP2","ENSG00000145687.14",11284,"protein_coding","23635",0.0573465769025954,2.32803782492961,0.291103203215865,0.771622887109385,0.835319180837529,-6.79098179340605
"CDKL1","ENSG00000100490","CDKL1","ENSG00000100490.8",6149,"protein_coding","8814",0.0465327731190267,0.620306855684581,0.291003049590094,0.771699244360728,0.835335728424029,-6.55252392134016
"PROC","ENSG00000115718","PROC","ENSG00000115718.16",2495,"protein_coding","5624",-0.0798497077565804,0.609205643610416,-0.290117399136466,0.772374563117877,0.836000575637123,-6.55155919976573
"ATP6V0A1","ENSG00000033627","ATP6V0A1","ENSG00000033627.13",10955,"protein_coding","535",-0.0254154364218682,6.06181725009742,-0.290028282233073,0.772442525504386,0.836007980997705,-7.27491113530813
"PCNX1","ENSG00000100731","PCNX1","ENSG00000100731.14",16715,"protein_coding","22990",0.0319102902993009,5.33835083038519,0.289906059212271,0.772535738182852,0.836042711200653,-7.23424253971722
"GATAD2A","ENSG00000167491","GATAD2A","ENSG00000167491.16",7296,"protein_coding","54815",0.0218747522043206,7.10826350244028,0.289601862484447,0.772767746533162,0.83622762951587,-7.29537478354741
"CDON","ENSG00000064309","CDON","ENSG00000064309.13",10600,"protein_coding","50937",-0.0575138941365883,1.9496624440489,-0.288977487596541,0.773244016784284,0.836615416269451,-6.73161933822812
"STK35","ENSG00000125834","STK35","ENSG00000125834.11",7055,"protein_coding","140901",0.0345392987239661,6.01770890372233,0.288971696130762,0.773248434893873,0.836615416269451,-7.27440318450272
"ST3GAL1","ENSG00000008513","ST3GAL1","ENSG00000008513.13",8729,"protein_coding","6482",0.0728794444320533,4.82484756233034,0.288816476750909,0.773366849189255,0.836677352148274,-7.18790179574354
"ADORA2B","ENSG00000170425","ADORA2B","ENSG00000170425.3",2551,"protein_coding","136",-0.0534341854036127,4.17392178767319,-0.288560689031819,0.773561997101178,0.836795113074116,-7.10545960000554
"C18orf54","ENSG00000166845","C18orf54","ENSG00000166845.12",6062,"protein_coding","162681",-0.0592021673031753,1.78053719224598,-0.288513427855368,0.77359805562379,0.836795113074116,-6.7060074101857
